--section--,**Statisics for 2022-05-01**,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Total**
PEI,PE,0,0,3,2,7,12
Quebec,QC,0,18,-,24,-,42+
Saskatchewan,SK,0,0,1,14,6,21
Yukon,YT,0,0,0,1,1,2
USA ,US,0,3,2,25,11,41
Foreign,FO,0,3,0,5,7,15
,,,,,,,_._
--section--,**Statisics for 2012-05-01**,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Total**
,**Total:**,31,71,449,376,932,1859
Alberta,AB,2,3,49,26,134,214
British Columbia,BC,0,9,55,71,84,219
Manitoba,MB,1,0,14,5,47,67
New Brunswick,NB,1,0,12,7,40,60
Newfoundland,NL,0,0,0,6,15,21
Nova Scotia,NS,0,0,1,15,24,40
North West Territories,NT,0,0,0,0,0,0
Nunavut,NU,0,0,0,0,0,0
Ontario,ON,27,35,283,175,507,1027
PEI,PE,0,0,4,2,10,16
Quebec,QC,0,18,22,24,51,115
Saskatchewan,SK,0,0,2,14,4,20
Yukon,YT,0,0,0,1,1,2
USA,US,0,3,4,25,13,45
Foreign,FO,0,3,3,5,2,13
